Location ID,Group,Category,Type of Space,Security,Demarcation,Cleanliness,Seating Types,Seating Capacity,Electrical appliances,Ornaments and Decorations,lat,lon,Remarks,URL
HG-G-68,,People-generated,Garden,No,Not demarcated,Clean,None,0,None,Present,1.3721319,103.8899582,"Small potted garden
People generated
Relatively organised
Many decorations 
No camera
No demarcation ",
HG-G-69,,People-generated,Garden,No,Not demarcated,Clean,None,0,None,None,1.3744862,103.889871,"People generated garden
No demarcation 
Relatively organised
Clean
No camera
First level unit present",
HG-G-70,,People-generated,Garden,No,Semi-demarcated,Clean,None,0,None,None,1.3751736,103.8900185,"People generated
Garden 
Should be nearest resident
1 st level unit
Relatively organised 
Semi demarcated
Clean
No cameras ",
HG-G-71,,People-generated,Garden,No,Not demarcated,Clean,None,0,None,None,1.3748261,103.8914653,"Stretch of garden
People generated
Low block 
Relatively disorganized but clean 
No demarcation 
No seating 
No cameras ",
HG-G-72,,People-generated,Garden,No,Not demarcated,Clean,Mobile,5,None,None,1.3713144,103.884861,"Outdoor area garden
People generated
Along a shelter
No demarcation
Relatively disorganized
Has two benches and a chair, movable
No camera
Clean 
Near first floor households ","https://www.google.com/maps/search/1.3713144,103.884861"
HG-G-75,,People-generated,Garden,No,Not demarcated,Clean,None,0,None,None,1.3737662,103.8804551,"Garden 
People generated
First floor resident
Relatively organised
No demarcation 
No camera
No seating ","https://www.google.com/maps/search/1.3737662,103.8804551"
HG-G-77,,People-generated,Garden,No,Demarcated,Clean,None,0,None,None,1.373431,103.8803586,"Garden
People generated
First floor residences
Has demarcation in the form of a small fence 
Not locked
Relatively organised
No cameras 
No seating","https://www.google.com/maps/search/1.373431,103.8803586"
HG-O-05,Simple,People-generated,Outdoor ,No,Not demarcated,Clean,Mobile,3,None,None,1.3563087,103.8900913,"A small outdoor space behind a first floor unit. As it is situated beside a walkway connecting HDB blocks together, a likely activity that happens here would be people watching, without being as exposed as placing the space in the front of the block where it lies along the main road. Also, due to its secluded nature, this space is most likely enjoyed by the resident who lives at the unit just beside it, hence it may not be a full community space for all. There are no cameras here.",
HG-O-14,Simple,People-generated,Outdoor,No,Not demarcated,Semi-clean,Mobile,4,None,None,1.3765536,103.8885725,"This space is situated near a first floor unit in the void deck. Consisting of two benches, it is a simple space. It is noticeably close to a small potted garden and provides a few of the surrounding area, while being relatively hidden itself. Whether it is a space that other residents can enjoy is not known. There are no cameras in this vicinity. ",
HG-O-15,Simple,People-generated,Outdoor,No,Not demarcated,Clean,None,0,None,Present,1.376628,103.8866963,"An outdoor area that consists of a garden. Mostly feeding into the units found on the first floor of these spaces. There are various ornaments present, religious and cultural. Also, bird cages can be found in this vicinity, which promotes both activities of bird watching and people-watching. ",
HG-O-16,Simple,People-generated,Outdoor,No,Not demarcated,Clean,Mobile,4,None,None,1.3738889,103.8899729,"This space covers a stretch of a shelter walkway beside a school and connecting two HDB blocks. Multiple tables and chairs have been placed, focusing towards the direction of the school and two large burning containers (probably used for religious purposes). There do not obstruct the passage way, instead running in parallel with the pillars. There are no cameras in this area. ",
HG-V-19,Advanced,People-generated,Void Deck,No,Not demarcated,Clean,Mixed,5,None,None,1.37863,103.893073,"This space is found at the edge of the void deck and is reasonably hard to spot. Along with two benches provided by the state, an additional chair and foldable table are present, fitting in nicely at the corner. A locked storage compartment which  as well as plastic drawers can be found in the space. While what is being stored is unknown, it could have a link with a small garden found adjacent to it that seems to also be people-generated. There are no cameras in this vicinity and its relatively secluded nature gives an impression that the community that uses this space would be rather small and quiet. ",
HG-V-20,Advanced,People-generated,Void Deck,No,Not demarcated,Clean,Mobile,30,None,Present,1.3765646,103.8938011,"The space is found at a void deck that is relatively close to a bus stop and a lift landing. While there is a table provided by the state, additional stone tables and benches are to found further from the lift landing. This could give the impression that the original space could not house the larger user capacity without blocking the path to the lift landing. Stacks of plastic chairs as well as stools can be found at the pillars of the space, with Chinese decorations on the walls and a small religious altar present. A small tin container can be seen as an ash tray for smokers. Pails and other types of equipment are stored behind the pillars to service the small plants that are grown towards the carpark at the back of the space, with Chinese decorations on them. This space does not have a camera but the provision of exercise equipment by the state, which looks rather new, would indicate that this space is accepted and known to exist for the residents. Due to its connectivity, people-watching would be a prominent activity, with its higher elevation and a good vantage point.",
HG-V-24,Simple,People-generated,Void Deck,No,Not demarcated,Clean,Mobile,4,None,Present,1.3700913,103.8844466,"This space is found sandwiched between a minimart and a state-provided community space in a void deck. Wooden seating and cabinets can be found in the space, with a small cabinet housing a religious ornament on top. Additional stackable plastic chairs can be found here as well. While defintely small, it is unique in that residents chose to set up closer to the minimart, rather than just a few metres into the state-provided space. There are no cameras in this section of the space. ",
